rule_name,description,benchmark,gpt_answer,gpt_configuration,valid_config,module_tp,module_fp,module_fn,option_name_tp,option_name_fp,option_name_fn,option_value_tp,option_value_fp,option_value_fn
2.1 File name,"File names must be all lowercase and may include underscores ( `_` ) or dashes ( `-` ), but no additional punctuation. Follow the convention that your project uses. Filenames¡¯ extension must be `.js` .",,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
2.2 File encoding: UTF-8,Source files are encoded in UTF-8 .,,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
2.3.1 Whitespace characters,"Aside from the line terminator sequence, the ASCII horizontal space character (0x20) is the only whitespace character that appears anywhere in a source file. This implies that
All other whitespace characters in string literals are escaped, and 
Tab characters are not used for indentation.","no-irregular-whitespace: error
indent: ['error', 2]",Yes,"no-tabs: ['allowIndentationTabs', False]",true,,no-tabs,"no-irregular-whitespace
indent",,no-tabs,"no-irregular-whitespace
indent",,no-tabs,"no-irregular-whitespace
indent"
2.3.2 Special escape sequences,"For any character that has a special escape sequence ( `\'` , `\""` , `\\` , `\b` , `\f` , `\n` , `\r` , `\t` , `\v` ), that sequence is used rather than the corresponding numeric escape (e.g `\x0a` , `\u000a` , or `\u{a}` ). Legacy octal escapes are never used.",,Yes,no-octal-escape: error,true,,no-octal-escape,,,no-octal-escape,,,no-octal-escape,
2.3.3 Non-ASCII characters,"For the remaining non-ASCII characters, either the actual Unicode character (e.g. `¡Þ` ) or the equivalent hex or Unicode escape (e.g. `\u221e` ) is used, depending only on which makes the code easier to read and understand .
Tip: In the Unicode escape case, and occasionally even when actual Unicode characters are used, an explanatory comment can be very helpful.
/* Best: perfectly clear even without a comment. */
const units = '¦Ìs';

/* Allowed: but unnecessary as ¦Ì is a printable character. */
const units = '\u03bcs'; // '¦Ìs'

/* Good: use escapes for non-printable characters with a comment for clarity. */
return '\ufeff' + content;  // Prepend a byte order mark.

/* Poor: the reader has no idea what character this is. */
const units = '\u03bcs';

Tip: Never make your code less readable simply out of fear that some programs might not handle non-ASCII characters properly. If that happens, those programs are broken and they must be fixed .",,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
3 Source file structure,"All new source files should either be a `goog.module` file (a file containing a `goog.module` call) or an ECMAScript (ES) module (uses `import` and `export` statements). Files consist of the following, in order :
License or copyright information, if present 
`@fileoverview` JSDoc, if present 
`goog.module` statement, if a `goog.module` file 
ES `import` statements, if an ES module 
`goog.require` and `goog.requireType` statements 
The file¡¯s implementation
Exactly one blank line separates each section that is present, except the file's implementation, which may be preceded by 1 or 2 blank lines.",,Yes,"padding-line-between-statements: [{'blankLine': 'always', 'prev': ['LicenseInfo', 'FileOverviewJSDoc', 'GoogModuleStatement', 'ESImportStatements', 'GoogRequireStatements'], 'next': ['LicenseInfo', 'FileOverviewJSDoc', 'GoogModuleStatement', 'ESImportStatements', 'GoogRequireStatements']}, {'blankLine': 'always', 'prev': ['FileImplementation'], 'next': ['FileImplementation']}]",true,,padding-line-between-statements,,,padding-line-between-statements,,,padding-line-between-statements,
"3.1 License or copyright information, if present","If license or copyright information belongs in a file, it belongs here.",,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
"3.2 @fileoverview JSDoc, if present",See ?? for formatting rules.,,Yes,"valid-jsdoc: {'requireReturn': True, 'requireReturnType': False, 'requireParamDescription': False, 'requireReturnDescription': False, 'requireParamType': False}",true,,valid-jsdoc,,,valid-jsdoc,,,valid-jsdoc,
3.3 goog.module statement,"All `goog.module` files must declare exactly one `goog.module` name on a single line: lines containing a `goog.module` declaration must not be wrapped, and are therefore an exception to the 80-column limit.
The entire argument to goog.module is what defines a namespace. It is the package name (an identifier that reflects the fragment of the directory structure where the code lives) plus, optionally, the main class/enum/interface that it defines concatenated to the end.
Example
goog.module('search.urlHistory.UrlHistoryService');","max-len: ['error', {'ignorePattern': 'OurSetDefault'}]",No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",false,,,max-len,,,max-len,,,max-len
3.3.1 Hierarchy,"Module namespaces may never be named as a direct child of another module's namespace.
Disallowed:
goog.module('foo.bar');   // 'foo.bar.qux' would be fine, though
goog.module('foo.bar.baz');

The directory hierarchy reflects the namespace hierarchy, so that deeper-nested children are subdirectories of higher-level parent directories. Note that this implies that owners of ¡°parent¡± namespace groups are necessarily aware of all child namespaces, since they exist in the same directory.",,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
3.3.2 goog.module.declareLegacyNamespace,"The single `goog.module` statement may optionally be followed by a call to `goog.module.declareLegacyNamespace();` . Avoid `goog.module.declareLegacyNamespace()` when possible.
Example:
goog.module('my.test.helpers');
goog.module.declareLegacyNamespace();
goog.setTestOnly();

`goog.module.declareLegacyNamespace` exists to ease the transition from traditional object hierarchy-based namespaces but comes with some naming restrictions. As the child module name must be created after the parent namespace, this name must not be a child or parent of any other `goog.module` (for example, `goog.module('parent');` and `goog.module('parent.child');` cannot both exist safely, nor can `goog.module('parent');` and `goog.module('parent.child.grandchild');` ).",,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
3.3.3 goog.module Exports,"Classes, enums, functions, constants, and other symbols are exported using the `exports` object. Exported symbols may be defined directly on the `exports` object, or else declared locally and exported separately. Symbols are only exported if they are meant to be used outside the module. Non-exported module-local symbols are not declared `@private` nor do their names end with an underscore. There is no prescribed ordering for exported and module-local symbols.
Examples:
const /** !Array<number> */ exportedArray = [1, 2, 3];

const /** !Array<number> */ moduleLocalArray = [4, 5, 6];

/** @return {number} */
function moduleLocalFunction() {
  return moduleLocalArray.length;
}

/** @return {number} */
function exportedFunction() {
  return moduleLocalFunction() * 2;
}

exports = {exportedArray, exportedFunction};

/** @const {number} */
exports.CONSTANT_ONE = 1;

/** @const {string} */
exports.CONSTANT_TWO = 'Another constant';

Do not annotate the `exports` object as `@const` as it is already treated as a constant by the compiler.
/** @const */
exports = {exportedFunction};",,Yes,"no-underscore-dangle: ['error', {'allow': [], 'allowAfterThis': False, 'allowAfterSuper': False, 'allowAfterThisConstructor': False, 'enforceInMethodNames': True, 'enforceInClassFields': True, 'allowInArrayDestructuring': False, 'allowInObjectDestructuring': False, 'allowFunctionParams': False}]",true,,no-underscore-dangle,,,no-underscore-dangle,,,no-underscore-dangle,
3.4.1 Imports,Import statements must not be line wrapped and are therefore an exception to the 80-column limit.,"max-len: ['error', {'code': 80, 'ignorePattern': 'OurSetDefault'}]",Yes,"max-len: [{'code': 80}, {'ignorePattern': '^import\\s.+\\sfrom\\s.+;$'}]",true,max-len,,,,max-len,max-len,,max-len,max-len
3.4.1.1 Import paths,"ES module files must use the `import` statement to import other ES module files. Do not `goog.require` another ES module.
import './sideeffects.js';

import * as goog from '../closure/goog/goog.js';
import * as parent from '../parent.js';

import {name} from './sibling.js';
",,Yes,"no-restricted-syntax: [{'selector': ""CallExpression[callee.name='goog.require']"", 'message': 'Use ESModule import statements instead of goog.require.'}]",true,,no-restricted-syntax,,,no-restricted-syntax,,,no-restricted-syntax,
3.4.1.1.1 File extensions in import paths,"The `.js` file extension is not optional in import paths and must always be included.
import '../directory/file';

import '../directory/file.js';
",,Yes,"import/extensions: ['error', 'always', {'extensions': ['.js']}]",true,,import/extensions,,,import/extensions,,,import/extensions,
3.4.1.2 Importing the same file multiple times,"Do not import the same file multiple times. This can make it hard to determine the aggregate imports of a file.
// Imports have the same path, but since it doesn't align it can be hard to see.
import {short} from './long/path/to/a/file.js';
import {aLongNameThatBreaksAlignment} from './long/path/to/a/file.js';
",no-duplicate-imports: ['error'],Yes,no-duplicate-imports: [{'includeExports': False}],true,no-duplicate-imports,,,,no-duplicate-imports,no-duplicate-imports,,no-duplicate-imports,no-duplicate-imports
3.4.1.3.1 Naming module imports,"Module import names ( `import*asname` ) are `lowerCamelCase` names that are derived from the imported file name.
import * as fileOne from '../file-one.js';
import * as fileTwo from '../file_two.js';
import * as fileThree from '../filethree.js';

import * as libString from './lib/string.js';
import * as math from './math/math.js';
import * as vectorMath from './vector/math.js';
","camelcase: ['error', {'ignoreImports': False}]",Yes,"id-match: ['onlyDeclarations', True]",true,,id-match,camelcase,,id-match,camelcase,,id-match,camelcase
3.4.1.3.2 Naming default imports,"Default import names are derived from the imported file name and follow the rules in ?? .
import MyClass from '../my-class.js';
import myFunction from '../my_function.js';
import SOME_CONSTANT from '../someconstant.js';

Note: In general this should not happen as default exports are banned by this style guide, see ?? . Default imports are only used to import modules that do not conform to this style guide.",,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
3.4.1.3.3 Naming named imports,"In general symbols imported via the named import ( `import{name}` ) should keep the same name. Avoid aliasing imports ( `import{SomeThingasSomeOtherThing}` ). Prefer fixing name collisions by using a module import ( `import*` ) or renaming the exports themselves.
import * as bigAnimals from './biganimals.js';
import * as domesticatedAnimals from './domesticatedanimals.js';

new bigAnimals.Cat();
new domesticatedAnimals.Cat();

If renaming a named import is needed then use components of the imported module's file name or path in the resulting alias.
import {Cat as BigCat} from './biganimals.js';
import {Cat as DomesticatedCat} from './domesticatedanimals.js';

new BigCat();
new DomesticatedCat();
",,Yes,"no-useless-rename: [{'ignoreImport': True}, {'ignoreImport': False}, {'ignoreImport': True, 'ignoreExport': True}]",true,,no-useless-rename,,,no-useless-rename,,,no-useless-rename,
3.4.2 Exports,Symbols are only exported if they are meant to be used outside the module. Non-exported module-local symbols are not declared `@private` nor do their names end with an underscore. There is no prescribed ordering for exported and module-local symbols.,,Yes,"no-unused-vars: ['error', {'vars': 'all'}]
sort-keys: ['error', {'allowLineSeparatedGroups': True}]",true,,"no-unused-vars
sort-keys",,,"no-unused-vars
sort-keys",,,"no-unused-vars
sort-keys",
3.4.2.1 Named vs default exports,"Use named exports in all code. You can apply the `export` keyword to a declaration, or use the `export{name};` syntax.
Do not use default exports. Importing modules must give a name to these values, which can lead to inconsistencies in naming across modules.
// Do not use default exports:
export default class Foo { ... } // BAD!

// Use named exports:
export class Foo { ... }

// Alternate style named exports:
class Foo { ... }

export {Foo};
","no-restricted-exports: ['error', {'restrictDefaultExports': {'direct': True}}]",Yes,"no-restricted-exports: [{'restrictDefaultExports': {'direct': True, 'named': True}}]",true,no-restricted-exports,,,no-restricted-exports,,,,no-restricted-exports,no-restricted-exports
3.4.2.2 Exporting static container classes and objects,"Do not export container classes or objects with static methods or properties for the sake of namespacing.
// container.js
// Bad: Container is an exported class that has only static methods and fields.
export class Container {
  /** @return {number} */
  static bar() {
    return 1;
  }
}

/** @const {number} */
Container.FOO = 1;

Instead, export individual constants and functions:
/** @return {number} */
export function bar() {
  return 1;
}

export const /** number */ FOO = 1;",,Yes,"no-restricted-exports: {'restrictedNamedExports': ['ContainerClass', 'ObjectWithStaticMethod', 'StaticProperty']}",true,,no-restricted-exports,,,no-restricted-exports,,,no-restricted-exports,
3.4.2.3 Mutability of exports,"Exported variables must not be mutated outside of module initialization.
There are alternatives if mutation is needed, including exporting a constant reference to an object that has mutable fields or exporting accessor functions for mutable data.
// Bad: both foo and mutateFoo are exported and mutated.
export let /** number */ foo = 0;

/**
 * Mutates foo.
 */
export function mutateFoo() {
  ++foo;
}

/**
 * @param {function(number): number} newMutateFoo
 */
export function setMutateFoo(newMutateFoo) {
  // Exported classes and functions can be mutated!
  mutateFoo = () => {
    foo = newMutateFoo(foo);
  };
}

// Good: Rather than export the mutable variables foo and mutateFoo directly,
// instead make them module scoped and export a getter for foo and a wrapper for
// mutateFooFunc.
let /** number */ foo = 0;
let /** function(number): number */ mutateFooFunc = foo => foo + 1;

/** @return {number} */
export function getFoo() {
  return foo;
}

export function mutateFoo() {
  foo = mutateFooFunc(foo);
}

/** @param {function(number): number} mutateFoo */
export function setMutateFoo(mutateFoo) {
  mutateFooFunc = mutateFoo;
}",,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
3.4.2.4 export from,"`exportfrom` statements must not be line wrapped and are therefore an exception to the 80-column limit. This applies to both `exportfrom` flavors.
export {specificName} from './other.js';
export * from './another.js';","max-len: ['error', {'code': 80, 'ignorePattern': 'OurSetDefault'}]",No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",false,,,max-len,,,max-len,,,max-len
3.4.3 Circular Dependencies in ES modules,"Do not create cycles between ES modules, even though the ECMAScript specification allows this. Note that it is possible to create cycles with both the `import` and `export` statements.
// a.js
import './b.js';

// b.js
import './a.js';

// `export from` can cause circular dependencies too!
export {x} from './c.js';

// c.js
import './b.js';

export let x;
",,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
3.4.4.1 Referencing goog,"To reference the Closure `goog` namespace, import Closure's `goog.js` .
import * as goog from '../closure/goog/goog.js';

const name = goog.require('a.name');

export const CONSTANT = name.compute();

`goog.js` exports only a subset of properties from the global `goog` that can be used in ES modules.",,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
3.4.4.2 goog.require in ES modules,"`goog.require` in ES modules works as it does in `goog.module` files. You can require any Closure namespace symbol (i.e., symbols created by `goog.provide` or `goog.module` ) and `goog.require` will return the value.
import * as goog from '../closure/goog/goog.js';
import * as anEsModule from './anEsModule.js';

const GoogPromise = goog.require('goog.Promise');
const myNamespace = goog.require('my.namespace');
",,Yes,curly: ['all'],true,,curly,,,curly,,,curly,
3.4.4.3 Declaring Closure Module IDs in ES modules,"`goog.declareModuleId` can be used within ES modules to declare a `goog.module` -like module ID. This means that this module ID can be `goog.require` d, `goog.module.get` d, `goog.forwardDeclare` 'd, etc. as if it were a `goog.module` that did not call `goog.module.declareLegacyNamespace` . It does not create the module ID as a globally available JavaScript symbol.
A `goog.require` (or `goog.module.get` ) for a module ID from `goog.declareModuleId` will always return the module object (as if it was `import*` 'd). As a result, the argument to `goog.declareModuleId` should always end with a `lowerCamelCaseName` .
Note: It is an error to call `goog.module.declareLegacyNamespace` in an ES module, it can only be called from `goog.module` files. There is no direct way to associate a legacy namespace with an ES module.
`goog.declareModuleId` should only be used to upgrade Closure files to ES modules in place, where named exports are used.
import * as goog from '../closure/goog.js';

goog.declareModuleId('my.esm');

export class Class {};
",,Yes,"camelcase: ['error', {'properties': 'always', 'ignoreDestructuring': False, 'ignoreImports': False, 'ignoreGlobals': False, 'allow': []}]",true,,camelcase,,,camelcase,,,camelcase,
3.5 goog.setTestOnly,"In a `goog.module` file the `goog.module` statement may optionally be followed by a call to `goog.setTestOnly()` .
In an ES module the `import` statements may optionally be followed by a call to `goog.setTestOnly()` .",,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
