rule_name,description,benchmark,gpt_answer,gpt_configuration,valid_config,module_tp,module_fp,module_fn,option_name_tp,option_name_fp,option_name_fn,option_value_tp,option_value_fp,option_value_fn
2.2 File encoding: UTF-8,Source files are encoded in UTF-8 .,,Yes,"<module name='Checker'>
    <module name='FileTabCharacter'>
        <property name='eachLine' value='true'/>
        <property name='fileExtensions' value='java'/>
    </module>
</module>",,,,,,,,,,
2.3.1 Whitespace characters,"Aside from the line terminator sequence, the ASCII horizontal space character ( 0x20 ) is the only whitespace character that appears anywhere in a source file. This implies that:
All other whitespace characters in string and character literals are escaped. 
Tab characters are not used for indentation.",{'modulename': 'eachLine'},Yes,"{'modulename': 'FileTabCharacter', 'eachLine': 'true', 'fileExtensions': 'java'}
{'modulename': 'SingleSpaceSeparator', 'validateComments': 'true'}",true,,"FileTabCharacter
SingleSpaceSeparator",eachLine,,"FileTabCharacter
SingleSpaceSeparator",eachLine,,"FileTabCharacter
SingleSpaceSeparator",eachLine
2.3.2 Special escape sequences,"For any character that has a special escape sequence ( `\b` , `\t` , `\n` , `\f` , `\r` , `\""` , `\'` and `\\` ), that sequence is used rather than the corresponding octal (e.g. `\012` ) or Unicode (e.g. `\u000a` ) escape.","{'modulename': 'IllegalTokenText', 'format': '\\\\u00(09|0(a|A)|0(c|C)|0(d|D)|22|27|5(C|c))|\\\\(0(10|11|12|14|15|42|47)|134)', 'tokens': 'STRING_LITERAL, CHAR_LITERAL'}",Yes,"{'modulename': 'AvoidEscapedUnicodeCharacters', 'allowByTailComment': 'false', 'allowEscapesForControlCharacters': 'true', 'allowIfAllCharactersEscaped': 'false', 'allowNonPrintableEscapes': 'true'}",true,,AvoidEscapedUnicodeCharacters,IllegalTokenText,,AvoidEscapedUnicodeCharacters,IllegalTokenText,,AvoidEscapedUnicodeCharacters,IllegalTokenText
2.3.3 Non-ASCII characters,"For the remaining non-ASCII characters, either the actual Unicode character (e.g. `∞` ) or the equivalent Unicode escape (e.g. `\u221e` ) is used. The choice depends only on which makes the code easier to read and understand , although Unicode escapes outside string literals and comments are strongly discouraged.
Tip: In the Unicode escape case, and occasionally even when actual Unicode characters are used, an explanatory comment can be very helpful.
Examples:
Example 
Discussion 
`StringunitAbbrev=""μs"";` 
Best: perfectly clear even without a comment. 
`StringunitAbbrev=""\u03bcs"";//""μs""` 
Allowed, but there's no reason to do this. 
`StringunitAbbrev=""\u03bcs"";//Greeklettermu,""s""` 
Allowed, but awkward and prone to mistakes. 
`StringunitAbbrev=""\u03bcs"";` 
Poor: the reader has no idea what this is. 
`return'\ufeff'+content;//byteordermark` 
Good: use escapes for non-printable characters, and comment if necessary.
Tip: Never make your code less readable simply out of fear that some programs might not handle non-ASCII characters properly. If that should happen, those programs are broken and they must be fixed .","{'modulename': 'AvoidEscapedUnicodeCharacters', 'allowByTailComment': 'true'}",Yes,"{'modulename': 'AvoidEscapedUnicodeCharacters', 'allowByTailComment': 'true', 'allowEscapesForControlCharacters': 'true'}",true,AvoidEscapedUnicodeCharacters,,,AvoidEscapedUnicodeCharacters,,,AvoidEscapedUnicodeCharacters,,
3 Source file structure,"A source file consists of, in order : 
License or copyright information, if present 
Package statement 
Import statements 
Exactly one top-level class

Exactly one blank line separates each section that is present.

","{'modulename': 'PackageDeclaration', 'matchDirectoryStructure': 'OurSetDefault'}
{'modulename': 'OneTopLevelClass'}",Yes,"{'modulename': 'OneTopLevelClass'}
{'modulename': 'PackageDeclaration'}
{'modulename': 'ImportOrder', 'separated': 'true'}",true,"OneTopLevelClass
PackageDeclaration",ImportOrder,,"OneTopLevelClass
PackageDeclaration",ImportOrder,,"OneTopLevelClass
PackageDeclaration",ImportOrder,
"3.1 License or copyright information, if present","If license or copyright information belongs in a file, it belongs here.

","{'modulename': 'Header', 'header': 'OurSetDefault', 'headerFile': 'OurSetDefault'}",Yes,"{'modulename': 'Header', 'headerFile': 'path/to/header.txt'}",true,Header,,,Header,,,Header,,
3.2 Package statement,"The package statement is not line-wrapped . The column limit (Section 4.4, Column limit: 100 ) does not apply to package statements.","{'modulename': 'LineLength', 'ignorePattern': 'OurSetDefault', 'max': '100'}
{'modulename': 'NoLineWrap', 'tokens': 'PACKAGE_DEF'}",Yes,"{'modulename': 'NoLineWrap', 'tokens': 'PACKAGE_DEF'}
{'modulename': 'PackageDeclaration', 'matchDirectoryStructure': 'true'}",true,NoLineWrap,PackageDeclaration,LineLength,NoLineWrap,PackageDeclaration,LineLength,NoLineWrap,PackageDeclaration,LineLength
3.3.1 No wildcard imports,"Wildcard imports , static or otherwise, are not used .

",{'modulename': 'AvoidStarImport'},Yes,"{'modulename': 'AvoidStaticImport', 'excludes': ''}
{'modulename': 'AvoidStarImport', 'allowClassImports': 'false', 'allowStaticMemberImports': 'false', 'excludes': ''}",true,AvoidStarImport,AvoidStaticImport,,AvoidStarImport,AvoidStaticImport,,AvoidStarImport,AvoidStaticImport,
3.3.2 No line-wrapping,"Import statements are not line-wrapped . The column limit (Section 4.4, Column limit: 100 ) does not apply to import statements.","{'modulename': 'LineLength', 'ignorePattern': 'OurSetDefault', 'max': '100'}
{'modulename': 'NoLineWrap', 'tokens': 'IMPORT, STATIC_IMPORT'}",Yes,"{'modulename': 'NoLineWrap', 'tokens': 'IMPORT, PACKAGE'}
{'modulename': 'RedundantImport'}
{'modulename': 'CustomImportOrder', 'customImportOrderRules': 'STANDARD_JAVA_PACKAGE, THIRD_PARTY_PACKAGE, SPECIAL_IMPORTS', 'separateLineBetweenGroups': 'true', 'sortImportsInGroupAlphabetically': 'true'}
{'modulename': 'AvoidStaticImport'}
{'modulename': 'AvoidStarImport', 'allowClassImports': 'false', 'allowStaticMemberImports': 'false'}
{'modulename': 'ImportOrder', 'caseSensitive': 'true', 'groups': 'java, javax, org, com', 'option': 'top', 'ordered': 'true', 'separated': 'true', 'separatedStaticGroups': 'true', 'sortStaticImportsAlphabetically': 'true', 'staticGroups': 'java, javax, org, com', 'useContainerOrderingForStatic': 'false'}
{'modulename': 'UnusedImports', 'processJavadoc': 'true'}",true,NoLineWrap,"RedundantImport
CustomImportOrder
AvoidStaticImport
AvoidStarImport
ImportOrder
UnusedImports",LineLength,NoLineWrap,"RedundantImport
CustomImportOrder
AvoidStaticImport
AvoidStarImport
ImportOrder
UnusedImports",LineLength,,"NoLineWrap
RedundantImport
CustomImportOrder
AvoidStaticImport
AvoidStarImport
ImportOrder
UnusedImports","LineLength
NoLineWrap"
3.3.3 Ordering and spacing,"Imports are ordered as follows:
All static imports in a single block. 
All non-static imports in a single block.
If there are both static and non-static imports, a single blank line separates the two blocks. There are no other blank lines between import statements.
Within each block the imported names appear in ASCII sort order. ( Note: this is not the same as the import statements being in ASCII sort order, since '.' sorts before ';'.)

","{'modulename': 'ImportOrder', 'option': 'top', 'separatedStaticGroups': 'true', 'separated': 'false', 'sortStaticImportsAlphabetically': 'true', 'ordered': 'true'}",Yes,"{'modulename': 'ImportOrder', 'option': 'top', 'separated': 'false', 'separatedStaticGroups': 'true', 'sortStaticImportsAlphabetically': 'true', 'caseSensitive': 'true'}
{'modulename': 'CustomImportOrder', 'customImportOrderRules': 'STATIC###THIRD_PARTY_PACKAGE###STANDARD_JAVA_PACKAGE###SPECIAL_IMPORTS', 'separateLineBetweenGroups': 'true', 'sortImportsInGroupAlphabetically': 'true'}",true,ImportOrder,CustomImportOrder,,ImportOrder,CustomImportOrder,,ImportOrder,CustomImportOrder,
