rule_name,description,benchmark,gpt_answer,gpt_configuration,tag
1 Introduction,"This document serves as the complete definition of Google’s coding standards for source code in the JavaScript programming language. A JavaScript source file is described as being in Google Style if and only if it adheres to the rules herein.
 Like other programming style guides, the issues covered span not only aesthetic issues of formatting, but other types of conventions or coding standards as well. However, this document focuses primarily on the hard-and-fast rules that we follow universally, and avoids giving advice that isn't clearly enforceable (whether by human or tool).",,Yes,"{'func-style': ['expression'], 'indent': [4, {'SwitchCase': 1, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration': {'parameters': 1, 'body': 1}, 'FunctionExpression': {'parameters': 1, 'body': 1}, 'StaticBlock': {'body': 1}, 'CallExpression': {'arguments': 1}, 'ArrayExpression': 1, 'ObjectExpression': 1, 'ImportDeclaration': 1, 'flatTernaryExpressions': False, 'offsetTernaryExpressions': False, 'ignoreComments': False}], 'no-script-url': 'error', 'brace-style': ['1tbs', {'allowSingleLine': True}], 'vars-on-top': 'error', 'comma-style': ['last', {'exceptions': {'ArrayExpression': False, 'ArrayPattern': False, 'ArrowFunctionExpression': False, 'CallExpression': False, 'FunctionDeclaration': False, 'FunctionExpression': False, 'ImportDeclaration': False, 'ObjectExpression': False, 'ObjectPattern': False, 'VariableDeclaration': False, 'NewExpression': False}}], 'no-lone-blocks': 'error', 'no-var': 'error', 'no-undefined': 'error', 'no-undef-init': 'error', 'strict': ['safe'], 'comma-spacing': [{'before': False, 'after': True}], 'global-require': 'error', 'one-var': ['never'], 'no-implicit-globals': ['error', {'lexicalBindings': True}], 'no-undef': ['error', {'typeof': True}], 'no-use-before-define': ['error', {'functions': False, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'init-declarations': ['always'], 'no-extra-semi': 'error', 'no-shadow-restricted-names': 'error'}",valid config part
1.1 Terminology notes,"In this document, unless otherwise clarified:
 The term comment always refers to implementation comments. We do not use the phrase documentation comments , instead using the common term “JSDoc” for both human-readable text and machine-readable annotations within `/**…*/` . 
 This Style Guide uses RFC 2119 terminology when using the phrases must , must not , should , should not , and may . The terms prefer and avoid correspond to should and should not , respectively. Imperative and declarative statements are prescriptive and correspond to must .
 Other terminology notes will appear occasionally throughout the document.",,Yes,"{'require-jsdoc': ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': False, 'ClassDeclaration': False, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}], 'no-warning-comments': ['error', {'terms': ['todo', 'fixme', 'xxx'], 'location': 'start', 'decoration': []}], 'valid-jsdoc': ['error', {'prefer': {}, 'preferType': {}, 'requireReturn': True, 'requireReturnType': False, 'matchDescription': '', 'requireParamDescription': False, 'requireReturnDescription': False, 'requireParamType': False}], 'no-inline-comments': ['error', {'ignorePattern': ''}], 'capitalized-comments': ['error', 'always', {'ignorePattern': 'pragma|ignored', 'ignoreInlineComments': True, 'ignoreConsecutiveComments': False, 'line': {'ignorePattern': ''}, 'block': {'ignorePattern': '', 'ignoreInlineComments': False}}], 'lines-around-comment': ['error', {'beforeBlockComment': True, 'afterBlockComment': False, 'beforeLineComment': False, 'afterLineComment': False, 'allowBlockStart': False, 'allowBlockEnd': False, 'allowObjectStart': False, 'allowObjectEnd': False, 'allowArrayStart': False, 'allowArrayEnd': False, 'allowClassStart': False, 'allowClassEnd': False, 'ignorePattern': '', 'applyDefaultIgnorePatterns': False, 'afterHashbangComment': False}], 'spaced-comment': ['error', 'always', {'exceptions': [], 'markers': [], 'line': {'exceptions': [], 'markers': []}, 'block': {'exceptions': [], 'markers': [], 'balanced': False}}]}",valid config part
1.2 Guide notes,"Example code in this document is non-normative . That is, while the examples are in Google Style, they may not illustrate the only stylish way to represent the code. Optional formatting choices made in examples must not be enforced as rules.",,Yes,"{'indent': ['error', 2, {'SwitchCase': 1, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration': {'parameters': 1, 'body': 1}, 'FunctionExpression': {'parameters': 1, 'body': 1}, 'StaticBlock': 1, 'CallExpression': {'arguments': 1}, 'ArrayExpression': 1, 'ObjectExpression': 1, 'ImportDeclaration': 1, 'flatTernaryExpressions': False, 'offsetTernaryExpressions': False, 'ignoreComments': False}], 'prefer-named-capture-group': 'error', 'no-lone-blocks': 'error', 'no-extra-semi': 'error', 'vars-on-top': 'error', 'no-shadow-restricted-names': 'error', 'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'no-useless-constructor': 'error', 'no-negated-condition': 'error', 'prefer-rest-params': 'error', 'no-useless-escape': 'error', 'prefer-template': 'error', 'no-ternary': 'error', 'no-inline-comments': ['error', {'ignorePattern': 'none'}], 'dot-notation': ['error', {'allowKeywords': True, 'allowPattern': 'none'}], 'no-empty-static-block': 'error', 'no-unreachable': 'error', 'no-trailing-spaces': ['error', {'skipBlankLines': False, 'ignoreComments': False}], 'no-undefined': 'error', 'no-new': 'error'}",exist config in str
2 Source file basics,2 Source file basics,,Yes,{'vars-on-top': 'error'},valid config part
2.1 File name,"File names must be all lowercase and may include underscores ( `_` ) or dashes ( `-` ), but no additional punctuation. Follow the convention that your project uses. Filenames’ extension must be `.js` .",,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",y_or_n is not Yes
2.2 File encoding: UTF-8,Source files are encoded in UTF-8 .,,Yes,{'unicode-bom': ['never']},valid config part
2.3 Special characters,2.3 Special characters,,Yes,"{'no-misleading-character-class': 'error', 'no-nonoctal-decimal-escape': 'error', 'no-template-curly-in-string': 'error', 'no-useless-escape': 'error', 'no-octal': 'error', 'no-control-regex': 'error', 'no-octal-escape': 'error', 'no-empty-character-class': 'error', 'prefer-template': 'error', 'prefer-numeric-literals': 'error', 'unicode-bom': ['error', 'never'], 'no-implicit-coercion': ['error', {'boolean': True, 'number': True, 'string': True, 'disallowTemplateShorthand': False, 'allow': []}], 'require-unicode-regexp': 'error', 'no-floating-decimal': 'error', 'dot-notation': ['error', {'allowKeywords': True, 'allowPattern': ''}], 'no-script-url': 'error', 'no-shadow-restricted-names': 'error', 'no-negated-condition': 'error', 'no-regex-spaces': 'error', 'yoda': ['error', {'never': 'never', 'exceptRange': False, 'onlyEquality': False}]}",valid config part
2.3.1 Whitespace characters,"Aside from the line terminator sequence, the ASCII horizontal space character (0x20) is the only whitespace character that appears anywhere in a source file. This implies that
 All other whitespace characters in string literals are escaped, and 
 Tab characters are not used for indentation.","{'no-irregular-whitespace': 'error', 'indent': ['error', 2]}",Yes,"{'no-irregular-whitespace': ['error', {'skipStrings': False}], 'no-tabs': ['error', {'allowIndentationTabs': False}], 'no-trailing-spaces': ['error', {'skipBlankLines': False, 'ignoreComments': False}], 'indent': ['error', 4, {'SwitchCase': 1}], 'no-mixed-spaces-and-tabs': ['error', {'smart-tabs': False}]}",valid config part
2.3.2 Special escape sequences,"For any character that has a special escape sequence ( `\'` , `\""` , `\\` , `\b` , `\f` , `\n` , `\r` , `\t` , `\v` ), that sequence is used rather than the corresponding numeric escape (e.g `\x0a` , `\u000a` , or `\u{a}` ). Legacy octal escapes are never used.",,Yes,"{'no-nonoctal-decimal-escape': 'error', 'no-octal-escape': 'error', 'no-useless-escape': 'error'}",valid config part
2.3.3 Non-ASCII characters,"For the remaining non-ASCII characters, either the actual Unicode character (e.g. `∞` ) or the equivalent hex or Unicode escape (e.g. `\u221e` ) is used, depending only on which makes the code easier to read and understand .
 Tip: In the Unicode escape case, and occasionally even when actual Unicode characters are used, an explanatory comment can be very helpful.
 /* Best: perfectly clear even without a comment. */
 const units = 'μs';
 
 /* Allowed: but unnecessary as μ is a printable character. */
 const units = '\u03bcs'; // 'μs'
 
 /* Good: use escapes for non-printable characters with a comment for clarity. */
 return '\ufeff' + content; // Prepend a byte order mark.
 
 /* Poor: the reader has no idea what character this is. */
 const units = '\u03bcs';
 
 Tip: Never make your code less readable simply out of fear that some programs might not handle non-ASCII characters properly. If that happens, those programs are broken and they must be fixed .",,Yes,"{'no-nonoctal-decimal-escape': 'error', 'no-misleading-character-class': 'error', 'no-useless-escape': 'error', 'no-octal-escape': 'error', 'require-unicode-regexp': 'error', 'unicode-bom': ['error', 'never'], 'no-irregular-whitespace': ['error', {'skipStrings': True, 'skipComments': False, 'skipRegExps': False, 'skipTemplates': False, 'skipJSXText': False}]}",valid config part
