rule_name,description,benchmark,gpt_answer,gpt_configuration
2.2 File encoding: UTF-8,Source files are encoded in UTF-8 .,,Yes,"<module name='Checker'>\n    <property name='charset' value='UTF-8'/>\n</module>\n\n
<module name='PackageDeclaration'/>\n\n
<module name='VisibilityModifier'/>\n\n
<module name='Indentation'/>\n\n
<module name='OneTopLevelClass'/>\n\n
<module name='MissingDeprecated'/>\n\n
<module name='JavadocVariable'/>\n\n
<module name='NoEnumTrailingComma'/>\n\n
<module name='UniqueProperties'/>\n\n
<module name='JavadocTagContinuationIndentation'/>\n\n
<module name='LambdaParameterName'/>\n\n
<module name='SuperFinalize'/>\n\n
<module name='EmptyForIteratorPad'/>\n\n
<module name='OneStatementPerLine'/>\n\n
<module name='InterfaceTypeParameterName'/>\n\n
<module name='MissingJavadocMethod'/>\n\n
<module name='JavaNCSS'/>\n\n
<module name='UnnecessaryParentheses'/>\n\n
<module name='FallThrough'/>\n\n
<module name='JavadocType'/>\n\n
<module name='NPathComplexity'/>\n\n
<module name='TrailingComment'/>\n\n
<module name='PackageAnnotation'/>\n\n
<module name='BooleanExpressionComplexity'/>\n\n
<module name='UnusedImports'/>\n\n
<module name='HideUtilityClassConstructor'/>\n\n
<module name='NestedIfDepth'/>\n\n
<module name='NoWhitespaceBeforeCaseDefaultColon'/>\n\n
<module name='ThrowsCount'/>\n\n
<module name='CommentsIndentation'/>\n\n
<module name='UnnecessarySemicolonInEnumeration'/>\n\n
<module name='MethodLength'/>\n\n
<module name='OrderedProperties'/>\n\n
<module name='TypecastParenPad'/>\n\n
<module name='TypeName'/>\n\n
<module name='UnnecessarySemicolonAfterOuterTypeDeclaration'/>\n\n
<module name='VariableDeclarationUsageDistance'/>\n\n
<module name='InvalidJavadocPosition'/>\n\n
<module name='MissingJavadocType'/>\n\n
<module name='RegexpHeader'/>\n\n
<module name='EmptyCatchBlock'/>\n\n
<module name='RecordComponentName'/>\n\n
<module name='CovariantEquals'/>\n\n
<module name='OperatorWrap'/>\n\n
<module name='AvoidInlineConditionals'/>\n\n
<module name='MemberName'/>\n\n
<module name='OverloadMethodsDeclarationOrder'/>\n\n
<module name='AvoidDoubleBraceInitialization'/>\n\n
<module name='AvoidNoArgumentSuperConstructorCall'/>\n\n
<module name='MethodTypeParameterName'/>\n\n
<module name='MissingOverride'/>\n\n
<module name='ClassMemberImpliedModifier'/>\n\n
<module name='ClassDataAbstractionCoupling'/>\n\n
<module name='AnnotationUseStyle'/>\n\n
<module name='ClassTypeParameterName'/>\n\n
<module name='ParameterNumber'/>\n\n
<module name='IllegalInstantiation'/>\n\n
<module name='AvoidStaticImport'/>\n\n
<module name='MatchXpath'/>\n\n
<module name='IllegalTokenText'/>\n\n
<module name='Translation'/>\n\n
<module name='MissingCtor'/>\n\n
<module name='ExecutableStatementCount'/>\n\n
<module name='JavadocContentLocation'/>\n\n
<module name='RegexpMultiline'/>\n\n
<module name='AtclauseOrder'/>\n\n
<module name='InnerTypeLast'/>\n\n
<module name='FinalLocalVariable'/>\n\n
<module name='WhitespaceAfter'/>\n\n
<module name='ClassFanOutComplexity'/>\n\n
<module name='RegexpSinglelineJava'/>\n\n
<module name='SingleLineJavadoc'/>\n\n
<module name='NoLineWrap'/>\n\n
<module name='MethodCount'/>\n\n
<module name='AnnotationLocation'/>\n\n
<module name='RedundantModifier'/>\n\n
<module name='JavadocPackage'/>\n\n
<module name='DesignForExtension'/>\n\n
<module name='CatchParameterName'/>\n\n
<module name='MissingSwitchDefault'/>\n\n
<module name='StringLiteralEquality'/>\n\n
<module name='ArrayTypeStyle'/>\n\n
<module name='NoArrayTrailingComma'/>\n\n
<module name='FileLength'/>\n\n
<module name='SimplifyBooleanExpression'/>\n\n
<module name='IllegalToken'/>\n\n
<module name='InnerAssignment'/>\n\n
<module name='MissingJavadocPackage'/>\n\n
<module name='AvoidNestedBlocks'/>\n\n
<module name='MethodParamPad'/>\n\n
<module name='LeftCurly'/>\n\n
<module name='ImportControl'/>\n\n
<module name='RecordTypeParameterName'/>\n\n
<module name='UpperEll'/>\n\n
<module name='ParameterAssignment'/>\n\n
<module name='NoClone'/>\n\n
<module name='CustomImportOrder'/>\n\n
<module name='InterfaceIsType'/>\n\n
<module name='UnnecessarySemicolonAfterTypeMemberDeclaration'/>\n\n
<module name='ReturnCount'/>\n\n
<module name='LocalFinalVariableName'/>\n\n
<module name='PatternVariableName'/>\n\n
<module name='OuterTypeNumber'/>\n\n
<module name='UnnecessarySemicolonInTryWithResources'/>\n\n
<module name='EmptyForInitializerPad'/>\n\n
<module name='ExplicitInitialization'/>\n\n
<module name='IllegalType'/>\n\n
<module name='FinalParameters'/>\n\n
<module name='IllegalImport'/>\n\n
<module name='RequireEmptyLineBeforeBlockTagGroup'/>\n\n
<module name='NeedBraces'/>\n\n
<module name='TodoComment'/>\n\n
<module name='DescendantToken'/>\n\n
<module name='EmptyStatement'/>\n\n
<module name='SingleSpaceSeparator'/>\n\n
<module name='RegexpSingleline'/>\n\n
<module name='RecordComponentNumber'/>\n\n
<module name='Regexp'/>\n\n
<module name='UncommentedMain'/>\n\n
<module name='EmptyLineSeparator'/>\n\n
<module name='HiddenField'/>\n\n
<module name='SuppressWarnings'/>\n\n
<module name='JavadocMissingLeadingAsterisk'/>\n\n
<module name='JavadocMethod'/>\n\n
<module name='SimplifyBooleanReturn'/>\n\n
<module name='SummaryJavadoc'/>\n\n
<module name='EqualsHashCode'/>\n\n
<module name='UnusedLocalVariable'/>\n\n
<module name='JavadocParagraph'/>\n\n
<module name='NoWhitespaceBefore'/>\n\n
<module name='LambdaBodyLength'/>\n\n
<module name='JavadocStyle'/>\n\n
<module name='NestedForDepth'/>\n\n
<module name='RedundantImport'/>\n\n
<module name='ParenPad'/>\n\n
<module name='LineLength'/>\n\n
<module name='JavadocBlockTagLocation'/>\n\n
<module name='ModifierOrder'/>\n\n
<module name='DefaultComesLast'/>\n\n
<module name='NoCodeInFile'/>\n\n
<module name='MultipleStringLiterals'/>\n\n
<module name='AbstractClassName'/>\n\n
<module name='WhitespaceAround'/>\n\n
<module name='NonEmptyAtclauseDescription'/>\n\n
<module name='ImportOrder'/>\n\n
<module name='NoFinalizer'/>\n\n
<module name='MagicNumber'/>\n\n
<module name='AvoidEscapedUnicodeCharacters'/>\n\n
<module name='AbbreviationAsWordInName'/>\n\n
<module name='EmptyBlock'/>\n\n
<module name='NoWhitespaceAfter'/>\n\n
<module name='ConstantName'/>\n\n
<module name='AnnotationOnSameLine'/>\n\n
<module name='InterfaceMemberImpliedModifier'/>\n\n
<module name='IllegalCatch'/>\n\n
<module name='ModifiedControlVariable'/>\n\n
<module name='FinalClass'/>\n\n
<module name='IllegalThrows'/>\n\n
<module name='IllegalIdentifierName'/>\n\n
<module name='ParameterName'/>\n\n
<module name='SeparatorWrap'/>\n\n
<module name='NewlineAtEndOfFile'/>\n\n
<module name='MutableException'/>\n\n
<module name='ArrayTrailingComma'/>\n\n
<module name='DeclarationOrder'/>\n\n
<module name='AvoidStarImport'/>\n\n
<module name='JavadocMissingWhitespaceAfterAsterisk'/>\n\n
<module name='StaticVariableName'/>\n\n
<module name='Header'/>\n\n
<module name='RegexpOnFilename'/>\n\n
<module name='FileTabCharacter'/>\n\n
<module name='EqualsAvoidNull'/>\n\n
<module name='SuperClone'/>\n\n
<module name='WriteTag'/>\n\n
<module name='CyclomaticComplexity'/>\n\n
<module name='AnonInnerLength'/>\n\n
<module name='OuterTypeFilename'/>\n\n
<module name='LocalVariableName'/>\n\n
<module name='NestedTryDepth'/>\n\n
<module name='MethodName'/>\n\n
<module name='GenericWhitespace'/>\n\n
<module name='RightCurly'/>\n\n
<module name='PackageName'/>\n\n
<module name='RequireThis'/>\n\n
<module name='MultipleVariableDeclarations'/>"
2.3.1 Whitespace characters,"Aside from the line terminator sequence, the ASCII horizontal space character ( 0x20 ) is the only whitespace character that appears anywhere in a source file. This implies that:
All other whitespace characters in string and character literals are escaped. 
Tab characters are not used for indentation.","[{'modulename': 'FileTabCharacter', 'eachLine': 'OurSetDefault'}]",Yes,"<module name='FileTabCharacter'>\n    <property name='eachLine' value='true'/>\n</module>\n
<module name='GenericWhitespace'>\n    <property name='tokens' value='STRING_LITERAL,CHAR_LITERAL'/>\n</module>"
2.3.2 Special escape sequences,"For any character that has a special escape sequence ( `\b` , `\t` , `\n` , `\f` , `\r` , `\""` , `\'` and `\\` ), that sequence is used rather than the corresponding octal (e.g. `\012` ) or Unicode (e.g. `\u000a` ) escape.","[{'modulename': 'IllegalTokenText', 'format': '\\\\u00(09|0(a|A)|0(c|C)|0(d|D)|22|27|5(C|c))|\\\\(0(10|11|12|14|15|42|47)|134)', 'tokens': 'STRING_LITERAL, CHAR_LITERAL'}]",Yes,"<module name='AvoidEscapedUnicodeCharacters'>
        <property name='id' value='avoidEscapedUnicodeCharacters'/>
        <property name='allowEscapesForControlCharacters' value='true'/>
        <property name='allowEscapesForNonPrintableCharacters' value='false'/>
    </module>"
2.3.3 Non-ASCII characters,"For the remaining non-ASCII characters, either the actual Unicode character (e.g. `∞` ) or the equivalent Unicode escape (e.g. `\u221e` ) is used. The choice depends only on which makes the code easier to read and understand , although Unicode escapes outside string literals and comments are strongly discouraged.
Tip: In the Unicode escape case, and occasionally even when actual Unicode characters are used, an explanatory comment can be very helpful.
Examples:
Example 
Discussion 
`StringunitAbbrev=""μs"";` 
Best: perfectly clear even without a comment. 
`StringunitAbbrev=""\u03bcs"";//""μs""` 
Allowed, but there's no reason to do this. 
`StringunitAbbrev=""\u03bcs"";//Greeklettermu,""s""` 
Allowed, but awkward and prone to mistakes. 
`StringunitAbbrev=""\u03bcs"";` 
Poor: the reader has no idea what this is. 
`return'\ufeff'+content;//byteordermark` 
Good: use escapes for non-printable characters, and comment if necessary.
Tip: Never make your code less readable simply out of fear that some programs might not handle non-ASCII characters properly. If that should happen, those programs are broken and they must be fixed .","[{'modulename': 'AvoidEscapedUnicodeCharacters', 'allowByTailComment': 'true'}]",Yes,"<module name='AvoidEscapedUnicodeCharacters'>\n    <property name='allowEscapesForControlCharacters' value='true'/>\n    <property name='allowEscapesForNonPrintableCharacters' value='true'/>\n</module>\n
<module name='TrailingComment'>\n    <property name='format' value='.*'/>\n</module>"
3 Source file structure,"A source file consists of, in order : 
License or copyright information, if present 
Package statement 
Import statements 
Exactly one top-level class

Exactly one blank line separates each section that is present.

","[{'modulename': 'PackageDeclaration', 'matchDirectoryStructure': 'OurSetDefault'}, {'modulename': 'OneTopLevelClass'}]",Yes,"<module name='PackageDeclaration'/>\n
<module name='OneTopLevelClass'/>\n
<module name='EmptyLineSeparator'>\n    <property name='tokens' value='PACKAGE_DEF,IMPORT,CLASS_DEF'/>\n</module>"
"3.1 License or copyright information, if present","If license or copyright information belongs in a file, it belongs here.

","[{'modulename': 'Header', 'header': 'OurSetDefault', 'headerFile': 'OurSetDefault'}]",Yes,"<module name='RegexpHeader'>
    <property name='id' value='header'/>
    <property name='header' value='^.*(Copyright|License).*'/>
</module>"
3.2 Package statement,"The package statement is not line-wrapped . The column limit (Section 4.4, Column limit: 100 ) does not apply to package statements.","[{'modulename': 'LineLength', 'ignorePattern': 'OurSetDefault', 'max': '100'}, {'modulename': 'NoLineWrap', 'tokens': 'PACKAGE_DEF'}]",Yes,"<module name='PackageDeclaration'>
    <property name='lineWrapping' value='false'/>
</module>"
3.3.1 No wildcard imports,"Wildcard imports , static or otherwise, are not used .

",[{'modulename': 'AvoidStarImport'}],Yes,"<module name='AvoidStarImport'/>\n
<module name='AvoidStaticImport'/>"
3.3.2 No line-wrapping,"Import statements are not line-wrapped . The column limit (Section 4.4, Column limit: 100 ) does not apply to import statements.","[{'modulename': 'LineLength', 'ignorePattern': 'OurSetDefault', 'max': '100'}, {'modulename': 'NoLineWrap', 'tokens': 'IMPORT, STATIC_IMPORT'}]",Yes,"<module name='NoLineWrap'>
        <property name='id' value='noLineWrap'/>
    </module>
    
<module name='ImportControl'>
        <property name='id' value='importControl'/>
        <property name='allowLineWrap' value='false'/>
    </module>"
3.3.3 Ordering and spacing,"Imports are ordered as follows:
All static imports in a single block. 
All non-static imports in a single block.
If there are both static and non-static imports, a single blank line separates the two blocks. There are no other blank lines between import statements.
Within each block the imported names appear in ASCII sort order. ( Note: this is not the same as the import statements being in ASCII sort order, since '.' sorts before ';'.)

","[{'modulename': 'ImportOrder', 'option': 'top', 'separatedStaticGroups': 'true', 'separated': 'false', 'sortStaticImportsAlphabetically': 'true', 'ordered': 'true'}]",Yes,"<module name='ImportOrder'>
        <property name='option' value='top'/>
        <property name='groups' value='static,standard'/>
        <property name='ordered' value='true'/>
        <property name='separated' value='true'/>
        <property name='sortStaticImportsAlphabetically' value='true'/>
        <property name='sortImportsAlphabetically' value='true'/>
    </module>"
