rule_name,description,benchmark,benchmark_default,benchmark_third,gpt_answer,gpt_configuration,valid_config,module_tp,module_fp,module_fn,option_name_tp,option_name_fp,option_name_fn,option_value_tp,option_value_fp,option_value_fn
2.1 File name,"File names must be all lowercase and may include underscores ( `_` ) or dashes ( `-` ), but no additional punctuation. Follow the convention that your project uses. Filenames’ extension must be `.js` .",,,,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
2.2 File encoding: UTF-8,Source files are encoded in UTF-8 .,,,,"unicode-bom: ['error', 'always']","{'unicode-bom': ['error', 'always']}",true,,unicode-bom,,,unicode-bom,,,unicode-bom,
2.3.1 Whitespace characters,"Aside from the line terminator sequence, the ASCII horizontal space character (0x20) is the only whitespace character that appears anywhere in a source file. This implies that
 All other whitespace characters in string literals are escaped, and 
 Tab characters are not used for indentation.","no-irregular-whitespace: error
no-tabs: error","no-irregular-whitespace: ['error', {'skipStrings': 'OurSetDefault'}]
no-tabs: ['error', {'allowIndentationTabs': False}]",,"no-tabs: error
no-mixed-spaces-and-tabs: error","{'no-tabs': 'error', 'no-mixed-spaces-and-tabs': 'error'}",true,no-tabs,no-mixed-spaces-and-tabs,no-irregular-whitespace,no-tabs,no-mixed-spaces-and-tabs,no-irregular-whitespace,no-tabs,no-mixed-spaces-and-tabs,no-irregular-whitespace
2.3.2 Special escape sequences,"For any character that has a special escape sequence ( `\'` , `\""` , `\\` , `\b` , `\f` , `\n` , `\r` , `\t` , `\v` ), that sequence is used rather than the corresponding numeric escape (e.g `\x0a` , `\u000a` , or `\u{a}` ). Legacy octal escapes are never used.",,,,"no-octal-escape: error
no-useless-escape: error","{'no-octal-escape': 'error', 'no-useless-escape': 'error'}",true,,"no-octal-escape
no-useless-escape",,,"no-octal-escape
no-useless-escape",,,"no-octal-escape
no-useless-escape",
2.3.3 Non-ASCII characters,"For the remaining non-ASCII characters, either the actual Unicode character (e.g. `∞` ) or the equivalent hex or Unicode escape (e.g. `\u221e` ) is used, depending only on which makes the code easier to read and understand .
 Tip: In the Unicode escape case, and occasionally even when actual Unicode characters are used, an explanatory comment can be very helpful.
 /* Best: perfectly clear even without a comment. */
 const units = 'μs';
 
 /* Allowed: but unnecessary as μ is a printable character. */
 const units = '\u03bcs'; // 'μs'
 
 /* Good: use escapes for non-printable characters with a comment for clarity. */
 return '\ufeff' + content; // Prepend a byte order mark.
 
 /* Poor: the reader has no idea what character this is. */
 const units = '\u03bcs';
 
 Tip: Never make your code less readable simply out of fear that some programs might not handle non-ASCII characters properly. If that happens, those programs are broken and they must be fixed .",,,,No,"{
    ""Answer"": No,
    ""Configuration"": {}
}",,,,,,,,,,
3 Source file structure,"All new source files should either be a `goog.module` file (a file containing a `goog.module` call) or an ECMAScript (ES) module (uses `import` and `export` statements). Files consist of the following, in order :
 License or copyright information, if present 
 `@fileoverview` JSDoc, if present 
 `goog.module` statement, if a `goog.module` file 
 ES `import` statements, if an ES module 
 `goog.require` and `goog.requireType` statements 
 The file’s implementation
 Exactly one blank line separates each section that is present, except the file's implementation, which may be preceded by 1 or 2 blank lines.",,,,"padding-line-between-statements: ['error', {'blankLine': 'always', 'prev': '*', 'next': 'import'}, {'blankLine': 'always', 'prev': 'import', 'next': '*'}, {'blankLine': 'always', 'prev': '*', 'next': 'export'}, {'blankLine': 'always', 'prev': 'export', 'next': '*'}, {'blankLine': 'always', 'prev': '*', 'next': 'goog.module'}, {'blankLine': 'always', 'prev': 'goog.module', 'next': '*'}, {'blankLine': 'always', 'prev': '*', 'next': 'goog.require'}, {'blankLine': 'always', 'prev': 'goog.require', 'next': '*'}, {'blankLine': 'always', 'prev': '*', 'next': 'goog.requireType'}, {'blankLine': 'always', 'prev': 'goog.requireType', 'next': '*'}]","{'padding-line-between-statements': ['error', {'blankLine': 'always', 'prev': '*', 'next': 'import'}, {'blankLine': 'always', 'prev': 'import', 'next': '*'}, {'blankLine': 'always', 'prev': '*', 'next': 'export'}, {'blankLine': 'always', 'prev': 'export', 'next': '*'}, {'blankLine': 'always', 'prev': '*', 'next': 'goog.module'}, {'blankLine': 'always', 'prev': 'goog.module', 'next': '*'}, {'blankLine': 'always', 'prev': '*', 'next': 'goog.require'}, {'blankLine': 'always', 'prev': 'goog.require', 'next': '*'}, {'blankLine': 'always', 'prev': '*', 'next': 'goog.requireType'}, {'blankLine': 'always', 'prev': 'goog.requireType', 'next': '*'}]}",true,,padding-line-between-statements,,,padding-line-between-statements,,,padding-line-between-statements,
"3.1 License or copyright information, if present","If license or copyright information belongs in a file, it belongs here.",,,,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
3.3 goog.module statement,"All `goog.module` files must declare exactly one `goog.module` name on a single line: lines containing a `goog.module` declaration must not be wrapped, and are therefore an exception to the 80-column limit.
 The entire argument to goog.module is what defines a namespace. It is the package name (an identifier that reflects the fragment of the directory structure where the code lives) plus, optionally, the main class/enum/interface that it defines concatenated to the end.
 Example
 goog.module('search.urlHistory.UrlHistoryService');","max-len: ['error', {'ignorePattern': 'OurSetDefault'}]","max-len: ['error', {'code': 'OurSetDefault', 'tabWidth': 'OurSetDefault', 'comments': 'OurSetDefault', 'ignoreTrailingComments': 'OurSetDefault', 'ignorePattern': 'OurSetDefault', 'ignoreComments': 'OurSetDefault', 'ignoreUrls': 'OurSetDefault', 'ignoreStrings': 'OurSetDefault', 'ignoreTemplateLiterals': 'OurSetDefault', 'ignoreRegExpLiterals': 'OurSetDefault'}]",,"max-len: ['error', {'code': 80, 'ignorePattern': ""^goog\\.module\\('.*'\\);$""}]","{'max-len': ['error', {'code': 80, 'ignorePattern': ""^goog\\.module\\('.*'\\);$""}]}",true,max-len,,,max-len,,,max-len,,
3.3.1 Hierarchy,"Module namespaces may never be named as a direct child of another module's namespace.
 Disallowed:
 goog.module('foo.bar'); // 'foo.bar.qux' would be fine, though
 goog.module('foo.bar.baz');
 
 The directory hierarchy reflects the namespace hierarchy, so that deeper-nested children are subdirectories of higher-level parent directories. Note that this implies that owners of “parent” namespace groups are necessarily aware of all child namespaces, since they exist in the same directory.",,,,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
3.3.2 goog.module.declareLegacyNamespace,"The single `goog.module` statement may optionally be followed by a call to `goog.module.declareLegacyNamespace();` . Avoid `goog.module.declareLegacyNamespace()` when possible.
 Example:
 goog.module('my.test.helpers');
 goog.module.declareLegacyNamespace();
 goog.setTestOnly();
 
 `goog.module.declareLegacyNamespace` exists to ease the transition from traditional object hierarchy-based namespaces but comes with some naming restrictions. As the child module name must be created after the parent namespace, this name must not be a child or parent of any other `goog.module` (for example, `goog.module('parent');` and `goog.module('parent.child');` cannot both exist safely, nor can `goog.module('parent');` and `goog.module('parent.child.grandchild');` ).",,,,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
