rule_name,description,benchmark,gpt_answer,gpt_configuration,valid_config,module_tp,module_fp,module_fn,option_name_tp,option_name_fp,option_name_fn,option_value_tp,option_value_fp,option_value_fn
2.2 File encoding: UTF-8,Source files are encoded in UTF-8 .,,No,,,,,,,,,,,
2.3.1 Whitespace characters,"Aside from the line terminator sequence, the ASCII horizontal space character ( 0x20 ) is the only whitespace character that appears anywhere in a source file. This implies that:
 All other whitespace characters in string and character literals are escaped. 
 Tab characters are not used for indentation.","{'modulename': 'FileTabCharacter'}
{'modulename': 'SingleSpaceSeparator'}",Yes,"{'modulename': 'FileTabCharacter', 'eachLine': 'true'}
{'modulename': 'WhitespaceAround', 'tokens': 'ASSIGN, BAND, BAND_ASSIGN, BOR, BOR_ASSIGN, BSR, BSR_ASSIGN, BXOR, BXOR_ASSIGN, COLON, COMMA, DIV, DIV_ASSIGN, DO_WHILE, EQUAL, GE, GT, LAND, LITERAL_ASSERT, LITERAL_CATCH, LITERAL_DO, LITERAL_ELSE, LITERAL_FINALLY, LITERAL_FOR, LITERAL_IF, LITERAL_RETURN, LITERAL_SYNCHRONIZED, LITERAL_TRY, LITERAL_WHILE, LT, LE, MINUS, MINUS_ASSIGN, MOD, MOD_ASSIGN, NOT_EQUAL, PLUS, PLUS_ASSIGN, QUESTION, SL, SL_ASSIGN, SR, SR_ASSIGN, STAR, STAR_ASSIGN'}",true,FileTabCharacter,WhitespaceAround,SingleSpaceSeparator,FileTabCharacter,WhitespaceAround,SingleSpaceSeparator,,"FileTabCharacter
WhitespaceAround","FileTabCharacter
SingleSpaceSeparator"
2.3.2 Special escape sequences,"For any character that has a special escape sequence ( `\b` , `\t` , `\n` , `\f` , `\r` , `\""` , `\'` and `\\` ), that sequence is used rather than the corresponding octal (e.g. `\012` ) or Unicode (e.g. `\u000a` ) escape.","{'modulename': 'IllegalTokenText', 'format': '\\\\u00(09|0(a|A)|0(c|C)|0(d|D)|22|27|5(C|c))|\\\\(0(10|11|12|14|15|42|47)|134)', 'tokens': 'STRING_LITERAL, CHAR_LITERAL'}",Yes,"{'modulename': 'AvoidEscapedUnicodeCharacters', 'allowByTailComment': 'true', 'allowEscapesForControlCharacters': 'true', 'allowNonPrintableEscapes': 'true'}",true,,AvoidEscapedUnicodeCharacters,IllegalTokenText,,AvoidEscapedUnicodeCharacters,IllegalTokenText,,AvoidEscapedUnicodeCharacters,IllegalTokenText
2.3.3 Non-ASCII characters,"For the remaining non-ASCII characters, either the actual Unicode character (e.g. `∞` ) or the equivalent Unicode escape (e.g. `\u221e` ) is used. The choice depends only on which makes the code easier to read and understand , although Unicode escapes outside string literals and comments are strongly discouraged.
 Tip: In the Unicode escape case, and occasionally even when actual Unicode characters are used, an explanatory comment can be very helpful.
 Examples:
 Example 
 Discussion 
 `StringunitAbbrev=""μs"";` 
 Best: perfectly clear even without a comment. 
 `StringunitAbbrev=""\u03bcs"";//""μs""` 
 Allowed, but there's no reason to do this. 
 `StringunitAbbrev=""\u03bcs"";//Greeklettermu,""s""` 
 Allowed, but awkward and prone to mistakes. 
 `StringunitAbbrev=""\u03bcs"";` 
 Poor: the reader has no idea what this is. 
 `return'\ufeff'+content;//byteordermark` 
 Good: use escapes for non-printable characters, and comment if necessary.
 Tip: Never make your code less readable simply out of fear that some programs might not handle non-ASCII characters properly. If that should happen, those programs are broken and they must be fixed .","{'modulename': 'AvoidEscapedUnicodeCharacters', 'allowByTailComment': 'true', 'allowEscapesForControlCharacters': 'true', 'allowNonPrintableEscapes': 'true'}",Yes,"{'modulename': 'AvoidEscapedUnicodeCharacters', 'allowByTailComment': 'true', 'allowEscapesForControlCharacters': 'true', 'allowNonPrintableEscapes': 'true'}",true,AvoidEscapedUnicodeCharacters,,,AvoidEscapedUnicodeCharacters,,,AvoidEscapedUnicodeCharacters,,
3 Source file structure,"A source file consists of, in order : 
 License or copyright information, if present 
 Package statement 
 Import statements 
 Exactly one top-level class
 

 Exactly one blank line separates each section that is present.","{'modulename': 'EmptyLineSeparator', 'tokens': 'PACKAGE_DEF, IMPORT, STATIC_IMPORT, CLASS_DEF'}
{'modulename': 'OneTopLevelClass'}
{'modulename': 'PackageDeclaration'}",Yes,"{'modulename': 'PackageDeclaration', 'matchDirectoryStructure': 'true'}
{'modulename': 'OneTopLevelClass'}
{'modulename': 'EmptyLineSeparator', 'tokens': 'PACKAGE_DEF,IMPORT,CLASS_DEF'}",true,"PackageDeclaration
OneTopLevelClass
EmptyLineSeparator",,,"PackageDeclaration
OneTopLevelClass
EmptyLineSeparator",,,"PackageDeclaration
OneTopLevelClass",EmptyLineSeparator,EmptyLineSeparator
"3.1 License or copyright information, if present","If license or copyright information belongs in a file, it belongs here.",,Yes,"<module name='RegexpHeader'>
        <property name='header' value='^.*(Copyright|License).*$'/>
        <property name='ignoreCase' value='true'/>
    </module>",,,,,,,,,,
3.2 Package statement,"The package statement is not line-wrapped . The column limit (Section 4.4, Column limit: 100 ) does not apply to package statements.","{'modulename': 'LineLength', 'ignorePattern': 'OurSetDefault', 'max': '100'}
{'modulename': 'NoLineWrap', 'tokens': 'PACKAGE_DEF'}",Yes,"{'modulename': 'NoLineWrap', 'tokens': 'PACKAGE_DEF'}",true,NoLineWrap,,LineLength,NoLineWrap,,LineLength,NoLineWrap,,LineLength
3.3.1 No wildcard imports,"Wildcard imports , static or otherwise, are not used .",{'modulename': 'AvoidStarImport'},Yes,"{'modulename': 'AvoidStarImport'}
{'modulename': 'AvoidStaticImport'}",true,AvoidStarImport,AvoidStaticImport,,AvoidStarImport,AvoidStaticImport,,AvoidStarImport,AvoidStaticImport,
3.3.2 No line-wrapping,"Import statements are not line-wrapped . The column limit (Section 4.4, Column limit: 100 ) does not apply to import statements.","{'modulename': 'LineLength', 'ignorePattern': 'OurSetDefault', 'max': '100'}
{'modulename': 'NoLineWrap', 'tokens': ' IMPORT, STATIC_IMPORT'}",Yes,"{'modulename': 'NoLineWrap', 'tokens': 'IMPORT'}",true,NoLineWrap,,LineLength,NoLineWrap,,LineLength,,NoLineWrap,"LineLength
NoLineWrap"
3.3.3 Ordering and spacing,"Imports are ordered as follows:
 All static imports in a single block. 
 All non-static imports in a single block.
 If there are both static and non-static imports, a single blank line separates the two blocks. There are no other blank lines between import statements.
 Within each block the imported names appear in ASCII sort order. ( Note: this is not the same as the import statements being in ASCII sort order, since '.' sorts before ';'.)","{'modulename': 'CustomImportOrder', 'sortImportsInGroupAlphabetically': 'true', 'separateLineBetweenGroups': 'true', 'customImportOrderRules': 'STATIC###THIRD_PARTY_PACKAGE'}",Yes,"{'modulename': 'CustomImportOrder', 'sortImportsInGroupAlphabetically': 'true', 'separateLineBetweenGroups': 'true', 'customImportOrderRules': 'STATIC###THIRD_PARTY_PACKAGE'}
{'modulename': 'ImportOrder', 'ordered': 'true', 'separated': 'true', 'sortStaticImportsAlphabetically': 'true', 'sortImportsAlphabetically': 'true'}",true,CustomImportOrder,ImportOrder,,CustomImportOrder,ImportOrder,,CustomImportOrder,ImportOrder,
