rule_name,description,benchmark,benchmark_default,benchmark_third,gpt_answer,gpt_configuration,valid_config,module_tp,module_fp,module_fn,option_name_tp,option_name_fp,option_name_fn,option_value_tp,option_value_fp,option_value_fn
2.1 File name,"File names must be all lowercase and may include underscores ( `_` ) or dashes ( `-` ), but no additional punctuation. Follow the convention that your project uses. Filenames’ extension must be `.js` .",,,,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
2.2 File encoding: UTF-8,Source files are encoded in UTF-8 .,,,,unicode-bom: never,{'unicode-bom': 'never'},true,,unicode-bom,,,unicode-bom,,,unicode-bom,
2.3.1 Whitespace characters,"Aside from the line terminator sequence, the ASCII horizontal space character (0x20) is the only whitespace character that appears anywhere in a source file. This implies that
 All other whitespace characters in string literals are escaped, and 
 Tab characters are not used for indentation.","no-irregular-whitespace: error
no-tabs: error","no-irregular-whitespace: ['error', {'skipStrings': 'OurSetDefault'}]
no-tabs: ['error', {'allowIndentationTabs': False}]",,Yes,"{
        ""no-irregular-whitespace"": [
            {""skipStrings"": false, ""skipComments"": false, ""skipRegExps"": false, ""skipTemplates"": false, ""skipJSXText"": false}
        ],
        ""no-tabs"": [
            {""allowIndentationTabs"": false}
        ],
        ""indent"": [
            2, // Enforce 2 spaces for indentation
            {""SwitchCase"": 1, ""VariableDeclarator"": 1, ""outerIIFEBody"": 1, ""MemberExpression"": 1, ""FunctionDeclaration.parameters"": 1, ""FunctionDeclaration.body"": 1, ""FunctionExpression.parameters"": 1, ""FunctionExpression.body"": 1, ""StaticBlock.body"": 1, ""CallExpression.arguments"": 1, ""ArrayExpression"": 1, ""ObjectExpression"": 1, ""ImportDeclaration"": 1, ""flatTernaryExpressions"": false, ""offsetTernaryExpressions"": false, ""ignoreComments"": false}
        ],
        ""no-trailing-spaces"": [
            {""skipBlankLines"": false, ""ignoreComments"": false}
        ],
        ""no-mixed-spaces-and-tabs"": [
            {""smart-tabs"": false}
        ]
    }",false,,,,,,,,,
2.3.2 Special escape sequences,"For any character that has a special escape sequence ( `\'` , `\""` , `\\` , `\b` , `\f` , `\n` , `\r` , `\t` , `\v` ), that sequence is used rather than the corresponding numeric escape (e.g `\x0a` , `\u000a` , or `\u{a}` ). Legacy octal escapes are never used.",,,,"no-nonoctal-decimal-escape: []
no-octal-escape: []
no-octal: []
no-useless-escape: []","{'no-nonoctal-decimal-escape': [], 'no-octal-escape': [], 'no-octal': [], 'no-useless-escape': []}",true,,"no-nonoctal-decimal-escape
no-octal-escape
no-octal
no-useless-escape",,,"no-nonoctal-decimal-escape
no-octal-escape
no-octal
no-useless-escape",,,"no-nonoctal-decimal-escape
no-octal-escape
no-octal
no-useless-escape",
2.3.3 Non-ASCII characters,"For the remaining non-ASCII characters, either the actual Unicode character (e.g. `∞` ) or the equivalent hex or Unicode escape (e.g. `\u221e` ) is used, depending only on which makes the code easier to read and understand .
 Tip: In the Unicode escape case, and occasionally even when actual Unicode characters are used, an explanatory comment can be very helpful.
 /* Best: perfectly clear even without a comment. */
 const units = 'μs';
 
 /* Allowed: but unnecessary as μ is a printable character. */
 const units = '\u03bcs'; // 'μs'
 
 /* Good: use escapes for non-printable characters with a comment for clarity. */
 return '\ufeff' + content; // Prepend a byte order mark.
 
 /* Poor: the reader has no idea what character this is. */
 const units = '\u03bcs';
 
 Tip: Never make your code less readable simply out of fear that some programs might not handle non-ASCII characters properly. If that happens, those programs are broken and they must be fixed .",,,,"no-nonoctal-decimal-escape: []
no-misleading-character-class: []
no-octal-escape: []
require-unicode-regexp: []
unicode-bom: ['never']
no-useless-escape: []","{'no-nonoctal-decimal-escape': [], 'no-misleading-character-class': [], 'no-octal-escape': [], 'require-unicode-regexp': [], 'unicode-bom': ['never'], 'no-useless-escape': []}",true,,"no-nonoctal-decimal-escape
no-misleading-character-class
no-octal-escape
require-unicode-regexp
unicode-bom
no-useless-escape",,,"no-nonoctal-decimal-escape
no-misleading-character-class
no-octal-escape
require-unicode-regexp
unicode-bom
no-useless-escape",,,"no-nonoctal-decimal-escape
no-misleading-character-class
no-octal-escape
require-unicode-regexp
unicode-bom
no-useless-escape",
3 Source file structure,"All new source files should either be a `goog.module` file (a file containing a `goog.module` call) or an ECMAScript (ES) module (uses `import` and `export` statements). Files consist of the following, in order :
 License or copyright information, if present 
 `@fileoverview` JSDoc, if present 
 `goog.module` statement, if a `goog.module` file 
 ES `import` statements, if an ES module 
 `goog.require` and `goog.requireType` statements 
 The file’s implementation
 Exactly one blank line separates each section that is present, except the file's implementation, which may be preceded by 1 or 2 blank lines.",,,,"global-require: no option
vars-on-top: no option
no-new-require: no option
max-lines: [{'max': 300}, {'skipBlankLines': True}, {'skipComments': True}]
require-jsdoc: [{'require': {'FunctionDeclaration': True, 'MethodDefinition': False, 'ClassDeclaration': False, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}]
no-undef-init: no option
no-duplicate-imports: [{'includeExports': False}]
block-scoped-var: no option
no-unexpected-multiline: no option
no-dupe-keys: no option
no-new-native-nonconstructor: no option
constructor-super: no option
no-dupe-class-members: no option
no-var: no option
no-undefined: no option
no-shadow-restricted-names: no option
no-new-object: no option
no-new: no option
no-ternary: no option
one-var: ['always', {'separateRequires': True}]","{'global-require': 'no option', 'vars-on-top': 'no option', 'no-new-require': 'no option', 'max-lines': [{'max': 300}, {'skipBlankLines': True}, {'skipComments': True}], 'require-jsdoc': [{'require': {'FunctionDeclaration': True, 'MethodDefinition': False, 'ClassDeclaration': False, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}], 'no-undef-init': 'no option', 'no-duplicate-imports': [{'includeExports': False}], 'block-scoped-var': 'no option', 'no-unexpected-multiline': 'no option', 'no-dupe-keys': 'no option', 'no-new-native-nonconstructor': 'no option', 'constructor-super': 'no option', 'no-dupe-class-members': 'no option', 'no-var': 'no option', 'no-undefined': 'no option', 'no-shadow-restricted-names': 'no option', 'no-new-object': 'no option', 'no-new': 'no option', 'no-ternary': 'no option', 'one-var': ['always', {'separateRequires': True}]}",true,,"global-require
vars-on-top
no-new-require
max-lines
require-jsdoc
no-undef-init
no-duplicate-imports
block-scoped-var
no-unexpected-multiline
no-dupe-keys
no-new-native-nonconstructor
constructor-super
no-dupe-class-members
no-var
no-undefined
no-shadow-restricted-names
no-new-object
no-new
no-ternary
one-var",,,"global-require
vars-on-top
no-new-require
max-lines
require-jsdoc
no-undef-init
no-duplicate-imports
block-scoped-var
no-unexpected-multiline
no-dupe-keys
no-new-native-nonconstructor
constructor-super
no-dupe-class-members
no-var
no-undefined
no-shadow-restricted-names
no-new-object
no-new
no-ternary
one-var",,,"global-require
vars-on-top
no-new-require
max-lines
require-jsdoc
no-undef-init
no-duplicate-imports
block-scoped-var
no-unexpected-multiline
no-dupe-keys
no-new-native-nonconstructor
constructor-super
no-dupe-class-members
no-var
no-undefined
no-shadow-restricted-names
no-new-object
no-new
no-ternary
one-var",
"3.1 License or copyright information, if present","If license or copyright information belongs in a file, it belongs here.",,,,unicode-bom: never,{'unicode-bom': 'never'},true,,unicode-bom,,,unicode-bom,,,unicode-bom,
3.3 goog.module statement,"All `goog.module` files must declare exactly one `goog.module` name on a single line: lines containing a `goog.module` declaration must not be wrapped, and are therefore an exception to the 80-column limit.
 The entire argument to goog.module is what defines a namespace. It is the package name (an identifier that reflects the fragment of the directory structure where the code lives) plus, optionally, the main class/enum/interface that it defines concatenated to the end.
 Example
 goog.module('search.urlHistory.UrlHistoryService');","max-len: ['error', {'ignorePattern': 'OurSetDefault'}]","max-len: ['error', {'code': 'OurSetDefault', 'tabWidth': 'OurSetDefault', 'comments': 'OurSetDefault', 'ignoreTrailingComments': 'OurSetDefault', 'ignorePattern': 'OurSetDefault', 'ignoreComments': 'OurSetDefault', 'ignoreUrls': 'OurSetDefault', 'ignoreStrings': 'OurSetDefault', 'ignoreTemplateLiterals': 'OurSetDefault', 'ignoreRegExpLiterals': 'OurSetDefault'}]",,"max-len: ['error', {'code': 80, 'ignorePattern': '^goog\\.module\\('}]
global-require: error
no-shadow-restricted-names: error
block-scoped-var: error
vars-on-top: error
no-unexpected-multiline: error
no-implicit-globals: ['error', {'lexicalBindings': False}]
one-var: ['error', 'never']
no-undef-init: error
max-statements: ['error', {'max': 10, 'ignoreTopLevelFunctions': False}]
no-undef: ['error', {'typeof': False}]
no-undefined: error
no-label-var: error
no-dupe-args: error
no-case-declarations: error
no-dupe-class-members: error
max-lines: ['error', {'max': 300, 'skipBlankLines': False, 'skipComments': False}]
no-duplicate-imports: ['error', {'includeExports': False}]
func-names: ['error', 'always']
no-var: error
no-extra-semi: error","{'max-len': ['error', {'code': 80, 'ignorePattern': '^goog\\.module\\('}], 'global-require': 'error', 'no-shadow-restricted-names': 'error', 'block-scoped-var': 'error', 'vars-on-top': 'error', 'no-unexpected-multiline': 'error', 'no-implicit-globals': ['error', {'lexicalBindings': False}], 'one-var': ['error', 'never'], 'no-undef-init': 'error', 'max-statements': ['error', {'max': 10, 'ignoreTopLevelFunctions': False}], 'no-undef': ['error', {'typeof': False}], 'no-undefined': 'error', 'no-label-var': 'error', 'no-dupe-args': 'error', 'no-case-declarations': 'error', 'no-dupe-class-members': 'error', 'max-lines': ['error', {'max': 300, 'skipBlankLines': False, 'skipComments': False}], 'no-duplicate-imports': ['error', {'includeExports': False}], 'func-names': ['error', 'always'], 'no-var': 'error', 'no-extra-semi': 'error'}",true,max-len,"global-require
no-shadow-restricted-names
block-scoped-var
vars-on-top
no-unexpected-multiline
no-implicit-globals
one-var
no-undef-init
max-statements
no-undef
no-undefined
no-label-var
no-dupe-args
no-case-declarations
no-dupe-class-members
max-lines
no-duplicate-imports
func-names
no-var
no-extra-semi",,max-len,"global-require
no-shadow-restricted-names
block-scoped-var
vars-on-top
no-unexpected-multiline
no-implicit-globals
one-var
no-undef-init
max-statements
no-undef
no-undefined
no-label-var
no-dupe-args
no-case-declarations
no-dupe-class-members
max-lines
no-duplicate-imports
func-names
no-var
no-extra-semi",,max-len,"global-require
no-shadow-restricted-names
block-scoped-var
vars-on-top
no-unexpected-multiline
no-implicit-globals
one-var
no-undef-init
max-statements
no-undef
no-undefined
no-label-var
no-dupe-args
no-case-declarations
no-dupe-class-members
max-lines
no-duplicate-imports
func-names
no-var
no-extra-semi",
3.3.1 Hierarchy,"Module namespaces may never be named as a direct child of another module's namespace.
 Disallowed:
 goog.module('foo.bar'); // 'foo.bar.qux' would be fine, though
 goog.module('foo.bar.baz');
 
 The directory hierarchy reflects the namespace hierarchy, so that deeper-nested children are subdirectories of higher-level parent directories. Note that this implies that owners of “parent” namespace groups are necessarily aware of all child namespaces, since they exist in the same directory.",,,,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
3.3.2 goog.module.declareLegacyNamespace,"The single `goog.module` statement may optionally be followed by a call to `goog.module.declareLegacyNamespace();` . Avoid `goog.module.declareLegacyNamespace()` when possible.
 Example:
 goog.module('my.test.helpers');
 goog.module.declareLegacyNamespace();
 goog.setTestOnly();
 
 `goog.module.declareLegacyNamespace` exists to ease the transition from traditional object hierarchy-based namespaces but comes with some naming restrictions. As the child module name must be created after the parent namespace, this name must not be a child or parent of any other `goog.module` (for example, `goog.module('parent');` and `goog.module('parent.child');` cannot both exist safely, nor can `goog.module('parent');` and `goog.module('parent.child.grandchild');` ).",,,,"global-require: no option
no-implicit-globals: {'lexicalBindings': False}
no-mixed-requires: {'grouping': False, 'allowCall': False}
no-undef: {'typeof': False}
one-var: {'var': 'always', 'let': 'always', 'const': 'always', 'separateRequires': False, 'initialized': 'always', 'uninitialized': 'always'}
no-use-before-define: {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}
vars-on-top: no option
no-shadow-restricted-names: no option
no-this-before-super: no option
no-new-native-nonconstructor: no option
no-redeclare: {'builtinGlobals': True}
no-undef-init: no option
no-inner-declarations: functions
no-case-declarations: no option
block-scoped-var: no option
no-duplicate-imports: {'includeExports': False}
no-obj-calls: no option
init-declarations: {'always': 'always', 'ignoreForLoopInit': False}
no-shadow: {'builtinGlobals': False, 'hoist': 'functions', 'allow': [], 'ignoreOnInitialization': False}
no-func-assign: no option","{'global-require': 'no option', 'no-implicit-globals': {'lexicalBindings': False}, 'no-mixed-requires': {'grouping': False, 'allowCall': False}, 'no-undef': {'typeof': False}, 'one-var': {'var': 'always', 'let': 'always', 'const': 'always', 'separateRequires': False, 'initialized': 'always', 'uninitialized': 'always'}, 'no-use-before-define': {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}, 'vars-on-top': 'no option', 'no-shadow-restricted-names': 'no option', 'no-this-before-super': 'no option', 'no-new-native-nonconstructor': 'no option', 'no-redeclare': {'builtinGlobals': True}, 'no-undef-init': 'no option', 'no-inner-declarations': 'functions', 'no-case-declarations': 'no option', 'block-scoped-var': 'no option', 'no-duplicate-imports': {'includeExports': False}, 'no-obj-calls': 'no option', 'init-declarations': {'always': 'always', 'ignoreForLoopInit': False}, 'no-shadow': {'builtinGlobals': False, 'hoist': 'functions', 'allow': [], 'ignoreOnInitialization': False}, 'no-func-assign': 'no option'}",true,,"global-require
no-implicit-globals
no-mixed-requires
no-undef
one-var
no-use-before-define
vars-on-top
no-shadow-restricted-names
no-this-before-super
no-new-native-nonconstructor
no-redeclare
no-undef-init
no-inner-declarations
no-case-declarations
block-scoped-var
no-duplicate-imports
no-obj-calls
init-declarations
no-shadow
no-func-assign",,,"global-require
no-implicit-globals
no-mixed-requires
no-undef
one-var
no-use-before-define
vars-on-top
no-shadow-restricted-names
no-this-before-super
no-new-native-nonconstructor
no-redeclare
no-undef-init
no-inner-declarations
no-case-declarations
block-scoped-var
no-duplicate-imports
no-obj-calls
init-declarations
no-shadow
no-func-assign",,,"global-require
no-implicit-globals
no-mixed-requires
no-undef
one-var
no-use-before-define
vars-on-top
no-shadow-restricted-names
no-this-before-super
no-new-native-nonconstructor
no-redeclare
no-undef-init
no-inner-declarations
no-case-declarations
block-scoped-var
no-duplicate-imports
no-obj-calls
init-declarations
no-shadow
no-func-assign",
