rule_name,description,benchmark,benchmark_default,benchmark_third,gpt_answer,gpt_configuration,valid_config,module_tp,module_fp,module_fn,option_name_tp,option_name_fp,option_name_fn,option_value_tp,option_value_fp,option_value_fn
2.1 File name,"File names must be all lowercase and may include underscores ( `_` ) or dashes ( `-` ), but no additional punctuation. Follow the convention that your project uses. Filenames’ extension must be `.js` .",,,,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
2.2 File encoding: UTF-8,Source files are encoded in UTF-8 .,,,,unicode-bom: ['never'],{'unicode-bom': ['never']},true,,unicode-bom,,,unicode-bom,,,unicode-bom,
2.3.1 Whitespace characters,"Aside from the line terminator sequence, the ASCII horizontal space character (0x20) is the only whitespace character that appears anywhere in a source file. This implies that
 All other whitespace characters in string literals are escaped, and 
 Tab characters are not used for indentation.","no-irregular-whitespace: error
no-tabs: error","no-irregular-whitespace: ['error', {'skipStrings': 'OurSetDefault'}]
no-tabs: ['error', {'allowIndentationTabs': False}]",,"no-irregular-whitespace: ['error', {'skipStrings': False}]
no-trailing-spaces: ['error', {'skipBlankLines': False, 'ignoreComments': False}]
indent: ['error', 4, {'SwitchCase': 1}]
no-whitespace-before-property: error
no-mixed-spaces-and-tabs: ['error', {'smart-tabs': False}]
no-tabs: ['error', {'allowIndentationTabs': False}]","{'no-irregular-whitespace': ['error', {'skipStrings': False}], 'no-trailing-spaces': ['error', {'skipBlankLines': False, 'ignoreComments': False}], 'indent': ['error', 4, {'SwitchCase': 1}], 'no-whitespace-before-property': 'error', 'no-mixed-spaces-and-tabs': ['error', {'smart-tabs': False}], 'no-tabs': ['error', {'allowIndentationTabs': False}]}",true,"no-irregular-whitespace
no-tabs","no-trailing-spaces
indent
no-whitespace-before-property
no-mixed-spaces-and-tabs",,"no-irregular-whitespace
no-tabs","no-trailing-spaces
indent
no-whitespace-before-property
no-mixed-spaces-and-tabs",,"no-irregular-whitespace
no-tabs","no-trailing-spaces
indent
no-whitespace-before-property
no-mixed-spaces-and-tabs",
2.3.2 Special escape sequences,"For any character that has a special escape sequence ( `\'` , `\""` , `\\` , `\b` , `\f` , `\n` , `\r` , `\t` , `\v` ), that sequence is used rather than the corresponding numeric escape (e.g `\x0a` , `\u000a` , or `\u{a}` ). Legacy octal escapes are never used.",,,,"no-nonoctal-decimal-escape: error
no-octal-escape: error
no-useless-escape: error","{'no-nonoctal-decimal-escape': 'error', 'no-octal-escape': 'error', 'no-useless-escape': 'error'}",true,,"no-nonoctal-decimal-escape
no-octal-escape
no-useless-escape",,,"no-nonoctal-decimal-escape
no-octal-escape
no-useless-escape",,,"no-nonoctal-decimal-escape
no-octal-escape
no-useless-escape",
2.3.3 Non-ASCII characters,"For the remaining non-ASCII characters, either the actual Unicode character (e.g. `∞` ) or the equivalent hex or Unicode escape (e.g. `\u221e` ) is used, depending only on which makes the code easier to read and understand .
 Tip: In the Unicode escape case, and occasionally even when actual Unicode characters are used, an explanatory comment can be very helpful.
 /* Best: perfectly clear even without a comment. */
 const units = 'μs';
 
 /* Allowed: but unnecessary as μ is a printable character. */
 const units = '\u03bcs'; // 'μs'
 
 /* Good: use escapes for non-printable characters with a comment for clarity. */
 return '\ufeff' + content; // Prepend a byte order mark.
 
 /* Poor: the reader has no idea what character this is. */
 const units = '\u03bcs';
 
 Tip: Never make your code less readable simply out of fear that some programs might not handle non-ASCII characters properly. If that happens, those programs are broken and they must be fixed .",,,,"no-nonoctal-decimal-escape: error
no-misleading-character-class: error
no-useless-escape: error
no-octal-escape: error
require-unicode-regexp: error
unicode-bom: ['error', 'never']
no-control-regex: error","{'no-nonoctal-decimal-escape': 'error', 'no-misleading-character-class': 'error', 'no-useless-escape': 'error', 'no-octal-escape': 'error', 'require-unicode-regexp': 'error', 'unicode-bom': ['error', 'never'], 'no-control-regex': 'error'}",true,,"no-nonoctal-decimal-escape
no-misleading-character-class
no-useless-escape
no-octal-escape
require-unicode-regexp
unicode-bom
no-control-regex",,,"no-nonoctal-decimal-escape
no-misleading-character-class
no-useless-escape
no-octal-escape
require-unicode-regexp
unicode-bom
no-control-regex",,,"no-nonoctal-decimal-escape
no-misleading-character-class
no-useless-escape
no-octal-escape
require-unicode-regexp
unicode-bom
no-control-regex",
3 Source file structure,"All new source files should either be a `goog.module` file (a file containing a `goog.module` call) or an ECMAScript (ES) module (uses `import` and `export` statements). Files consist of the following, in order :
 License or copyright information, if present 
 `@fileoverview` JSDoc, if present 
 `goog.module` statement, if a `goog.module` file 
 ES `import` statements, if an ES module 
 `goog.require` and `goog.requireType` statements 
 The file’s implementation
 Exactly one blank line separates each section that is present, except the file's implementation, which may be preceded by 1 or 2 blank lines.",,,,"global-require: error
vars-on-top: error
no-mixed-requires: ['error', {'grouping': True}]
no-duplicate-imports: error
require-jsdoc: ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': False, 'ClassDeclaration': False, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}]
no-lone-blocks: error
indent: ['error', 4, {'SwitchCase': 1, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration': {'parameters': 1, 'body': 1}, 'FunctionExpression': {'parameters': 1, 'body': 1}, 'StaticBlock': 1, 'CallExpression': {'arguments': 1}, 'ArrayExpression': 1, 'ObjectExpression': 1, 'ImportDeclaration': 1, 'flatTernaryExpressions': False, 'offsetTernaryExpressions': True, 'ignoreComments': False}]
no-dupe-class-members: error
lines-around-directive: ['error', {'before': 'always', 'after': 'always'}]
strict: ['error', 'global']
no-new-require: error
no-implicit-globals: ['error', {'lexicalBindings': True}]
one-var: ['error', {'var': 'always', 'let': 'always', 'const': 'always'}]
brace-style: ['error', '1tbs', {'allowSingleLine': True}]
func-style: ['error', 'declaration', {'allowArrowFunctions': True}]
sort-imports: ['error', {'ignoreCase': True, 'ignoreDeclarationSort': False, 'ignoreMemberSort': False, 'memberSyntaxSortOrder': ['none', 'all', 'multiple', 'single'], 'allowSeparatedGroups': False}]
no-undefined: error
no-use-before-define: ['error', {'functions': False, 'classes': True, 'variables': True, 'allowNamedExports': True}]
no-var: error
no-dupe-keys: error","{'global-require': 'error', 'vars-on-top': 'error', 'no-mixed-requires': ['error', {'grouping': True}], 'no-duplicate-imports': 'error', 'require-jsdoc': ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': False, 'ClassDeclaration': False, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}], 'no-lone-blocks': 'error', 'indent': ['error', 4, {'SwitchCase': 1, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration': {'parameters': 1, 'body': 1}, 'FunctionExpression': {'parameters': 1, 'body': 1}, 'StaticBlock': 1, 'CallExpression': {'arguments': 1}, 'ArrayExpression': 1, 'ObjectExpression': 1, 'ImportDeclaration': 1, 'flatTernaryExpressions': False, 'offsetTernaryExpressions': True, 'ignoreComments': False}], 'no-dupe-class-members': 'error', 'lines-around-directive': ['error', {'before': 'always', 'after': 'always'}], 'strict': ['error', 'global'], 'no-new-require': 'error', 'no-implicit-globals': ['error', {'lexicalBindings': True}], 'one-var': ['error', {'var': 'always', 'let': 'always', 'const': 'always'}], 'brace-style': ['error', '1tbs', {'allowSingleLine': True}], 'func-style': ['error', 'declaration', {'allowArrowFunctions': True}], 'sort-imports': ['error', {'ignoreCase': True, 'ignoreDeclarationSort': False, 'ignoreMemberSort': False, 'memberSyntaxSortOrder': ['none', 'all', 'multiple', 'single'], 'allowSeparatedGroups': False}], 'no-undefined': 'error', 'no-use-before-define': ['error', {'functions': False, 'classes': True, 'variables': True, 'allowNamedExports': True}], 'no-var': 'error', 'no-dupe-keys': 'error'}",true,,"global-require
vars-on-top
no-mixed-requires
no-duplicate-imports
require-jsdoc
no-lone-blocks
indent
no-dupe-class-members
lines-around-directive
strict
no-new-require
no-implicit-globals
one-var
brace-style
func-style
sort-imports
no-undefined
no-use-before-define
no-var
no-dupe-keys",,,"global-require
vars-on-top
no-mixed-requires
no-duplicate-imports
require-jsdoc
no-lone-blocks
indent
no-dupe-class-members
lines-around-directive
strict
no-new-require
no-implicit-globals
one-var
brace-style
func-style
sort-imports
no-undefined
no-use-before-define
no-var
no-dupe-keys",,,"global-require
vars-on-top
no-mixed-requires
no-duplicate-imports
require-jsdoc
no-lone-blocks
indent
no-dupe-class-members
lines-around-directive
strict
no-new-require
no-implicit-globals
one-var
brace-style
func-style
sort-imports
no-undefined
no-use-before-define
no-var
no-dupe-keys",
"3.1 License or copyright information, if present","If license or copyright information belongs in a file, it belongs here.",,,,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
3.3 goog.module statement,"All `goog.module` files must declare exactly one `goog.module` name on a single line: lines containing a `goog.module` declaration must not be wrapped, and are therefore an exception to the 80-column limit.
 The entire argument to goog.module is what defines a namespace. It is the package name (an identifier that reflects the fragment of the directory structure where the code lives) plus, optionally, the main class/enum/interface that it defines concatenated to the end.
 Example
 goog.module('search.urlHistory.UrlHistoryService');","max-len: ['error', {'ignorePattern': 'OurSetDefault'}]","max-len: ['error', {'code': 'OurSetDefault', 'tabWidth': 'OurSetDefault', 'comments': 'OurSetDefault', 'ignoreTrailingComments': 'OurSetDefault', 'ignorePattern': 'OurSetDefault', 'ignoreComments': 'OurSetDefault', 'ignoreUrls': 'OurSetDefault', 'ignoreStrings': 'OurSetDefault', 'ignoreTemplateLiterals': 'OurSetDefault', 'ignoreRegExpLiterals': 'OurSetDefault'}]",,"max-len: ['error', {'code': 80, 'ignorePattern': '^goog\\.module\\('}]
global-require: error","{'max-len': ['error', {'code': 80, 'ignorePattern': '^goog\\.module\\('}], 'global-require': 'error'}",true,max-len,global-require,,max-len,global-require,,max-len,global-require,
3.3.1 Hierarchy,"Module namespaces may never be named as a direct child of another module's namespace.
 Disallowed:
 goog.module('foo.bar'); // 'foo.bar.qux' would be fine, though
 goog.module('foo.bar.baz');
 
 The directory hierarchy reflects the namespace hierarchy, so that deeper-nested children are subdirectories of higher-level parent directories. Note that this implies that owners of “parent” namespace groups are necessarily aware of all child namespaces, since they exist in the same directory.",,,,No,"{
    ""Answer"": No,
    ""Configuration"": {}
}",,,,,,,,,,
3.3.2 goog.module.declareLegacyNamespace,"The single `goog.module` statement may optionally be followed by a call to `goog.module.declareLegacyNamespace();` . Avoid `goog.module.declareLegacyNamespace()` when possible.
 Example:
 goog.module('my.test.helpers');
 goog.module.declareLegacyNamespace();
 goog.setTestOnly();
 
 `goog.module.declareLegacyNamespace` exists to ease the transition from traditional object hierarchy-based namespaces but comes with some naming restrictions. As the child module name must be created after the parent namespace, this name must not be a child or parent of any other `goog.module` (for example, `goog.module('parent');` and `goog.module('parent.child');` cannot both exist safely, nor can `goog.module('parent');` and `goog.module('parent.child.grandchild');` ).",,,,"no-implicit-globals: ['error', {'lexicalBindings': True}]
global-require: error
no-mixed-requires: ['error', {'grouping': True, 'allowCall': False}]
no-undef: ['error', {'typeof': True}]
no-inner-declarations: ['error', 'both']
no-use-before-define: ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}]
one-var: ['error', {'var': 'always', 'let': 'always', 'const': 'always'}]
no-redeclare: ['error', {'builtinGlobals': True}]
vars-on-top: error
no-multi-assign: ['error', {'ignoreNonDeclaration': False}]
strict: ['error', 'never']
no-dupe-class-members: error
no-lone-blocks: error
no-undefined: error
init-declarations: ['error', 'always']
no-new-native-nonconstructor: error
no-duplicate-imports: ['error', {'includeExports': True}]
no-invalid-this: ['error', {'capIsConstructor': True}]
no-func-assign: error
no-restricted-globals: ['error', {'name': 'event', 'message': ""Avoid using the global 'event' variable.""}]","{'no-implicit-globals': ['error', {'lexicalBindings': True}], 'global-require': 'error', 'no-mixed-requires': ['error', {'grouping': True, 'allowCall': False}], 'no-undef': ['error', {'typeof': True}], 'no-inner-declarations': ['error', 'both'], 'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'one-var': ['error', {'var': 'always', 'let': 'always', 'const': 'always'}], 'no-redeclare': ['error', {'builtinGlobals': True}], 'vars-on-top': 'error', 'no-multi-assign': ['error', {'ignoreNonDeclaration': False}], 'strict': ['error', 'never'], 'no-dupe-class-members': 'error', 'no-lone-blocks': 'error', 'no-undefined': 'error', 'init-declarations': ['error', 'always'], 'no-new-native-nonconstructor': 'error', 'no-duplicate-imports': ['error', {'includeExports': True}], 'no-invalid-this': ['error', {'capIsConstructor': True}], 'no-func-assign': 'error', 'no-restricted-globals': ['error', {'name': 'event', 'message': ""Avoid using the global 'event' variable.""}]}",true,,"no-implicit-globals
global-require
no-mixed-requires
no-undef
no-inner-declarations
no-use-before-define
one-var
no-redeclare
vars-on-top
no-multi-assign
strict
no-dupe-class-members
no-lone-blocks
no-undefined
init-declarations
no-new-native-nonconstructor
no-duplicate-imports
no-invalid-this
no-func-assign
no-restricted-globals",,,"no-implicit-globals
global-require
no-mixed-requires
no-undef
no-inner-declarations
no-use-before-define
one-var
no-redeclare
vars-on-top
no-multi-assign
strict
no-dupe-class-members
no-lone-blocks
no-undefined
init-declarations
no-new-native-nonconstructor
no-duplicate-imports
no-invalid-this
no-func-assign
no-restricted-globals",,,"no-implicit-globals
global-require
no-mixed-requires
no-undef
no-inner-declarations
no-use-before-define
one-var
no-redeclare
vars-on-top
no-multi-assign
strict
no-dupe-class-members
no-lone-blocks
no-undefined
init-declarations
no-new-native-nonconstructor
no-duplicate-imports
no-invalid-this
no-func-assign
no-restricted-globals",
